Symbol,Date,Time,Close,Open,High,Low,Volume,Amount,MatchItem,Interest
SZ300276,20150429,111400,19.37,19.37,19.37,19.37,5800,112346,6,0
SZ300276,20150429,111500,19.37,19.37,19.37,19.37,2400,46488,2,0
SZ300276,20150429,111600,19.37,19.37,19.37,19.37,1700,32929,2,0
SZ300276,20150429,111700,19.37,19.37,19.37,19.37,1900,36803,2,0
SZ300276,20150429,111800,19.37,19.37,19.37,19.37,500,9685,1,0
SZ300276,20150429,112000,19.37,19.37,19.37,19.37,2900,56173,4,0
SZ300276,20150429,112100,19.37,19.37,19.37,19.37,800,15496,3,0
SZ300276,20150429,112200,19.37,19.37,19.37,19.37,2800,54236,3,0
SZ300276,20150429,112300,19.37,19.37,19.37,19.37,6600,127842,2,0
SZ300276,20150429,112400,19.37,19.37,19.37,19.37,6000,116220,2,0
SZ300276,20150429,112500,19.37,19.37,19.37,19.37,1000,19370,1,0
SZ300276,20150429,112600,19.37,19.37,19.37,19.37,900,17433,2,0
SZ300276,20150429,112700,19.37,19.37,19.37,19.37,1500,29055,2,0
SZ300276,20150429,112800,19.37,19.37,19.37,19.37,8400,162708,1,0
SZ300276,20150429,112900,19.37,19.37,19.37,19.37,3000,58110,2,0
SZ300276,20150429,130000,19.37,19.37,19.37,19.37,51020,988258,32,0
SZ300276,20150429,130100,19.37,19.37,19.37,19.37,5500,106535,4,0
SZ300276,20150429,130200,19.37,19.37,19.37,19.37,1200,23244,2,0
SZ300276,20150429,130300,19.37,19.37,19.37,19.37,2300,44551,2,0
SZ300276,20150429,130400,19.37,19.37,19.37,19.37,1300,25181,3,0
SZ300276,20150429,130500,19.37,19.37,19.37,19.37,9100,176267,3,0
SZ300276,20150429,130600,19.37,19.37,19.37,19.37,1600,30992,4,0
SZ300276,20150429,130700,19.37,19.37,19.37,19.37,2900,56173,1,0
SZ300276,20150429,130800,19.37,19.37,19.37,19.37,1100,21307,1,0
SZ300276,20150429,130900,19.37,19.37,19.37,19.37,1300,25181,3,0
SZ300276,20150429,131000,19.37,19.37,19.37,19.37,7000,135590,4,0
SZ300276,20150429,131100,19.37,19.37,19.37,19.37,500,9685,1,0
SZ300276,20150429,131200,19.37,19.37,19.37,19.37,1100,21307,1,0
SZ300276,20150429,131300,19.37,19.37,19.37,19.37,1100,21307,2,0
SZ300276,20150429,131400,19.37,19.37,19.37,19.37,7300,141401,4,0
SZ300276,20150429,131500,19.37,19.37,19.37,19.37,3200,61984,2,0
SZ300276,20150429,131600,19.37,19.37,19.37,19.37,4363,84511,4,0
SZ300276,20150429,131700,19.37,19.37,19.37,19.37,500,9685,1,0
SZ300276,20150429,131800,19.37,19.37,19.37,19.37,6500,125905,3,0
SZ300276,20150429,131900,19.37,19.37,19.37,19.37,4500,87165,5,0
SZ300276,20150429,132000,19.37,19.37,19.37,19.37,13700,265369,7,0
SZ300276,20150429,132100,19.37,19.37,19.37,19.37,4600,89102,5,0
SZ300276,20150429,132200,19.37,19.37,19.37,19.37,3000,58110,3,0
SZ300276,20150429,132300,19.37,19.37,19.37,19.37,2300,44551,3,0
SZ300276,20150429,132400,19.37,19.37,19.37,19.37,9400,182078,5,0
SZ300276,20150429,132500,19.37,19.37,19.37,19.37,2000,38740,5,0
SZ300276,20150429,132600,19.37,19.37,19.37,19.37,8300,160771,3,0
SZ300276,20150429,132700,19.37,19.37,19.37,19.37,1700,32929,3,0
SZ300276,20150429,132800,19.37,19.37,19.37,19.37,2000,38740,1,0
SZ300276,20150429,132900,19.37,19.37,19.37,19.37,500,9685,1,0
SZ300276,20150429,133000,19.37,19.37,19.37,19.37,300,5811,1,0
SZ300276,20150429,133100,19.37,19.37,19.37,19.37,100,1937,1,0
SZ300276,20150429,133200,19.37,19.37,19.37,19.37,200,3874,1,0
SZ300276,20150429,133300,19.37,19.37,19.37,19.37,500,9685,2,0
