Symbol,Date,Time,Close,Open,High,Low,Volume,Amount,MatchItem,Interest
SH600018,20140905,130300,5.29,5.29,5.3,5.29,2200992,11649933,652,0
SH600018,20140905,130400,5.27,5.29,5.29,5.25,1702004,8982110,366,0
SH600018,20140905,130500,5.27,5.27,5.27,5.26,906395,4771690,307,0
SH600018,20140905,130600,5.26,5.26,5.27,5.25,982709,5167616,286,0
SH600018,20140905,130700,5.25,5.26,5.26,5.25,642800,3377495,293,0
SH600018,20140905,130800,5.25,5.25,5.26,5.25,786350,4129714,258,0
SH600018,20140905,130900,5.25,5.25,5.26,5.25,1650646,8675246,448,0
SH600018,20140905,131000,5.26,5.25,5.27,5.25,922171,4849612,349,0
SH600018,20140905,131100,5.27,5.26,5.27,5.26,767285,4041327,297,0
SH600018,20140905,131200,5.29,5.27,5.29,5.26,2181851,11505081,547,0
SH600018,20140905,131300,5.29,5.28,5.29,5.28,3441123,18185711,830,0
SH600018,20140905,131400,5.28,5.29,5.3,5.28,1586935,8401133,556,0
SH600018,20140905,131500,5.29,5.28,5.29,5.28,676417,3573921,199,0
SH600018,20140905,131600,5.29,5.28,5.29,5.28,605018,3199178,242,0
SH600018,20140905,131700,5.28,5.28,5.29,5.28,1271765,6720218,389,0
SH600018,20140905,131800,5.28,5.28,5.28,5.27,354418,1870591,159,0
SH600018,20140905,131900,5.28,5.27,5.29,5.27,972049,5132596,243,0
SH600018,20140905,132000,5.29,5.28,5.29,5.28,963018,5090027,263,0
SH600018,20140905,132100,5.29,5.28,5.29,5.28,602837,3186458,281,0
SH600018,20140905,132200,5.29,5.28,5.29,5.28,448118,2368884,233,0
SH600018,20140905,132300,5.28,5.28,5.29,5.28,652117,3447656,217,0
SH600018,20140905,132400,5.29,5.28,5.29,5.28,1951967,10321409,558,0
SH600018,20140905,132500,5.3,5.29,5.3,5.29,1507167,7981715,383,0
SH600018,20140905,132600,5.29,5.3,5.3,5.29,827711,4381872,289,0
SH600018,20140905,132700,5.3,5.29,5.3,5.29,883917,4682459,257,0
SH600018,20140905,132800,5.3,5.29,5.3,5.29,1207018,6394543,398,0
SH600018,20140905,132900,5.3,5.29,5.3,5.29,713817,3779821,279,0
SH600018,20140905,133000,5.29,5.29,5.3,5.29,1045018,5531494,324,0
SH600018,20140905,133100,5.3,5.29,5.3,5.29,515517,2728391,204,0
SH600018,20140905,133200,5.3,5.29,5.3,5.29,650818,3446256,187,0
SH600018,20140905,133300,5.29,5.29,5.3,5.29,1532117,8113169,462,0
SH600018,20140905,133400,5.29,5.29,5.3,5.29,683863,3622956,203,0
SH600018,20140905,133500,5.29,5.29,5.3,5.29,1040717,5514579,344,0
SH600018,20140905,133600,5.3,5.3,5.3,5.29,6211000,32916039,1627,0
SH600018,20140905,133700,5.3,5.3,5.3,5.3,11490800,60900132,3694,0
SH600018,20140905,133800,5.3,5.3,5.3,5.3,1728870,9162997,574,0
SH600018,20140905,133900,5.3,5.3,5.3,5.3,864756,4583206,231,0
SH600018,20140905,134000,5.3,5.3,5.3,5.3,3702779,19624729,697,0
SH600018,20140905,134100,5.3,5.3,5.3,5.29,740665,3924724,277,0
SH600018,20140905,134200,5.3,5.29,5.3,5.29,563600,2985970,211,0
SH600018,20140905,134300,5.3,5.3,5.3,5.29,1339700,7099499,473,0
SH600018,20140905,134400,5.3,5.3,5.3,5.29,1306307,6922188,448,0
SH600018,20140905,134500,5.3,5.3,5.3,5.3,389900,2066470,233,0
SH600018,20140905,134600,5.3,5.3,5.3,5.3,486900,2580570,241,0
SH600018,20140905,134700,5.3,5.3,5.3,5.29,1363500,7225956,311,0
SH600018,20140905,134800,5.3,5.3,5.3,5.29,566277,3000918,306,0
SH600018,20140905,134900,5.3,5.3,5.3,5.3,550950,2920035,243,0
SH600018,20140905,135000,5.3,5.3,5.3,5.3,629800,3337940,279,0
SH600018,20140905,135100,5.3,5.3,5.3,5.3,579173,3069612,215,0
SH600018,20140905,135200,5.3,5.3,5.3,5.3,460800,2442234,242,0
SH600018,20140905,135300,5.3,5.3,5.3,5.3,483960,2564988,184,0
SH600018,20140905,135400,5.3,5.3,5.3,5.3,470567,2493953,217,0
SH600018,20140905,135500,5.3,5.3,5.3,5.29,362400,1920237,221,0
SH600018,20140905,135600,5.3,5.3,5.3,5.29,581100,3078545,271,0
SH600018,20140905,135700,5.3,5.3,5.3,5.3,1087881,5765395,231,0
SH600018,20140905,135800,5.3,5.3,5.3,5.3,668787,3544571,102,0
SH600018,20140905,135900,5.3,5.3,5.3,5.3,614283,3255700,148,0
SH600018,20140905,140000,5.3,5.3,5.3,5.3,301700,1599010,96,0
SH600018,20140905,140100,5.3,5.3,5.3,5.3,265235,1405746,70,0
SH600018,20140905,140200,5.3,5.3,5.3,5.3,385554,2043436,80,0
SH600018,20140905,140300,5.3,5.3,5.3,5.3,736035,3900985,151,0
SH600018,20140905,140400,5.3,5.3,5.3,5.3,390938,2071972,155,0
SH600018,20140905,140500,5.3,5.3,5.3,5.3,293985,1558120,132,0
SH600018,20140905,140600,5.3,5.3,5.3,5.3,225634,1195861,126,0
SH600018,20140905,140700,5.3,5.3,5.3,5.3,349135,1850415,132,0
SH600018,20140905,140800,5.3,5.3,5.3,5.3,200234,1061240,100,0
SH600018,20140905,140900,5.3,5.3,5.3,5.3,286835,1520226,155,0
SH600018,20140905,141000,5.3,5.3,5.3,5.3,408539,2165229,164,0
SH600018,20140905,141100,5.3,5.3,5.3,5.29,595434,3155448,189,0
SH600018,20140905,141200,5.3,5.3,5.3,5.29,471543,2498881,203,0
SH600018,20140905,141300,5.3,5.3,5.3,5.3,354134,1876910,172,0
SH600018,20140905,141400,5.3,5.3,5.3,5.3,227135,1203816,93,0
SH600018,20140905,141500,5.3,5.3,5.3,5.3,87534,463930,49,0
SH600018,20140905,141600,5.3,5.3,5.3,5.3,152045,805838,54,0
SH600018,20140905,141700,5.3,5.3,5.3,5.3,328135,1739116,34,0
SH600018,20140905,141800,5.3,5.3,5.3,5.3,92734,491490,32,0
SH600018,20140905,141900,5.3,5.3,5.3,5.3,236535,1253635,50,0
SH600018,20140905,142000,5.3,5.3,5.3,5.3,94285,499711,43,0
SH600018,20140905,142100,5.3,5.3,5.3,5.3,106735,565695,60,0
SH600018,20140905,142200,5.3,5.3,5.3,5.3,253434,1343201,55,0
SH600018,20140905,142300,5.3,5.3,5.3,5.3,99135,525415,52,0
SH600018,20140905,142400,5.3,5.3,5.3,5.3,79734,422590,35,0
SH600018,20140905,142500,5.3,5.3,5.3,5.3,61435,325606,41,0
SH600018,20140905,142600,5.3,5.3,5.3,5.3,200235,1061245,62,0
SH600018,20140905,142700,5.3,5.3,5.3,5.3,34934,185151,28,0
SH600018,20140905,142800,5.3,5.3,5.3,5.3,53735,284795,34,0
SH600018,20140905,142900,5.3,5.3,5.3,5.3,47334,250870,27,0
SH600018,20140905,143000,5.3,5.3,5.3,5.3,69635,369066,38,0
SH600018,20140905,143100,5.3,5.3,5.3,5.3,138244,732693,58,0
SH600018,20140905,143200,5.3,5.3,5.3,5.3,38435,203705,24,0
SH600018,20140905,143300,5.3,5.3,5.3,5.3,145633,771855,44,0
